Team,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Arsenal,0,56,71,51,63,68,78,78,73,70,87,78,90,83,67,68,83,72,75,68,70,73,79,75,71,75,63,70,56,61,69,84,0,0
Aston Villa,0,74,57,48,63,61,57,55,58,54,50,45,56,47,42,50,60,62,64,48,38,41,38,38,17,0,0,0,35,55,45,61,0,0
Barnsley,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham City,0,0,0,0,0,0,0,0,0,0,0,48,50,45,34,0,35,0,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackburn,0,71,84,89,61,42,58,35,0,0,46,60,44,42,63,52,58,41,50,43,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolton,0,0,0,0,29,0,40,0,0,0,40,44,53,58,56,56,37,41,39,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,44,45,34,0,0,39,0,0
Bradford City,0,0,0,0,0,0,0,0,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,0,0
Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,41,41,51,62,0,0
Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,33,0,40,54,40,54,39,35,0,0,0
Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,34,0,0,0,0,0,0
Charlton Ath,0,0,0,0,0,0,0,36,0,52,44,49,53,46,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,0,56,51,54,50,59,63,75,65,61,64,67,79,95,91,83,85,83,86,71,64,75,82,87,50,93,70,72,66,67,74,44,0,0
Coventry City,0,52,56,50,38,41,52,42,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,0,49,0,45,0,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,45,48,42,41,44,49,43,44,48,45,0,0
Derby County,0,0,0,0,0,46,55,52,38,42,30,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,0,53,44,50,61,42,40,43,50,42,43,59,39,61,50,58,65,63,61,54,56,63,72,47,47,61,49,54,49,59,39,36,0,0
Fulham,0,0,0,0,0,0,0,0,0,0,44,48,52,44,48,39,36,53,46,49,52,43,32,0,0,0,0,26,0,28,0,52,0,0
Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16,0,0,0,0,0,0
Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,0,0,0,37,35,0,34,0,0,0,0,0,0,0,0
Ipswich Town,0,52,43,27,0,0,0,0,0,66,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeds United,0,51,70,73,43,46,59,67,69,68,66,47,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,38,31,0,0
Leicester City,0,0,0,29,0,47,53,49,55,48,28,0,33,0,0,0,0,0,0,0,0,0,0,41,81,44,47,52,62,66,52,34,0,0
Liverpool,0,59,60,74,71,68,65,54,67,69,80,64,60,58,82,68,76,86,63,58,52,61,84,62,60,76,75,97,99,69,92,67,0,0
Manchester City,0,57,45,49,38,0,0,0,0,34,0,51,41,52,43,42,55,50,67,71,89,78,86,79,66,78,100,98,81,86,93,89,0,0
Manchester Utd,0,84,92,88,82,75,77,79,91,80,77,83,75,77,83,89,87,90,85,80,89,89,64,70,66,69,81,66,66,74,58,75,0,0
Middlesbrough,0,44,0,0,43,42,0,51,52,42,45,49,48,55,45,46,42,32,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
Newcastle Utd,0,0,77,72,78,68,44,46,52,51,71,69,56,44,58,43,43,34,0,46,65,41,49,39,37,0,44,45,44,45,49,71,0,0
Norwich City,0,72,53,43,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,47,44,33,0,34,0,0,0,21,0,22,0,0,0
Nott'ham Forest,0,40,0,77,58,34,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
Oldham Athletic,0,49,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth,0,0,0,0,0,0,0,0,0,0,0,0,45,39,38,54,57,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QPR,0,63,60,60,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,25,0,30,0,0,0,0,0,0,0,0,0,0
Reading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,36,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Utd,0,52,42,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,54,23,0,0,0,0
Sheffield Weds,0,59,64,51,40,57,44,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,0,50,43,54,38,41,48,41,44,52,45,52,47,32,0,0,0,0,0,0,0,41,56,60,63,46,36,39,52,43,40,25,0,0
Stoke City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,46,45,42,50,54,51,44,33,0,0,0,0,0,0,0
Sunderland,0,0,0,0,0,40,0,0,58,57,40,19,0,0,15,0,39,36,44,47,45,39,38,38,39,24,0,0,0,0,0,0,0,0
Swansea City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,42,56,47,41,33,0,0,0,0,0,0,0
Swindon Town,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham,0,59,45,62,61,46,44,47,53,49,50,50,45,52,65,60,46,51,70,62,69,72,69,64,70,86,77,71,59,62,71,60,0,0
Watford,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,45,40,41,50,34,0,23,0,0,0
West Brom,0,0,0,0,0,0,0,0,0,0,0,26,0,34,30,0,0,32,0,47,47,49,36,44,43,45,31,0,0,26,0,0,0,0
West Ham,0,0,52,50,51,42,56,57,55,42,53,42,0,0,55,41,49,51,35,33,0,46,40,47,62,45,42,52,39,65,56,40,0,0
Wigan Athletic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,38,40,45,36,42,43,36,0,0,0,0,0,0,0,0,0,0,0,0
Wimbledon,0,54,65,56,41,56,44,42,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolves,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,38,40,25,0,0,0,0,0,0,57,59,45,51,41,0,0
